Currency,Date,Close,24h Open (USD),24h High (USD),24h Low (USD)
BTC,2018-08-12T22:59:59.504Z,6338.738957,6392.972745,6450.72431,6147.760509
BTC,2018-08-13T22:59:59.990Z,6260.192995,6338.738903,6532.599017,6150.224816
BTC,2018-08-14T22:59:59.927Z,6123.447601,6256.844082,6285.55769,5884.779259
BTC,2018-08-15T22:59:59.810Z,6332.6069,6186.971207,6587.317958,6180.25542
BTC,2018-08-16T23:00:00.352Z,6273.88807,6332.6069,6467.86245,6210.161423
BTC,2018-08-17T23:00:00.346Z,6566.595283,6277.041776,6572.931093,6259.389957
BTC,2018-08-18T22:59:59.677Z,6396.946369,6559.693837,6616.676752,6300.114994
BTC,2018-08-19T22:59:59.721Z,6516.668382,6391.086269,6539.964724,6302.207382
BTC,2018-08-20T22:59:59.887Z,6299.395333,6516.772572,6523.486097,6280.326328
BTC,2018-08-21T23:00:00.063Z,6470.733567,6252.328859,6494.665011,6240.901886
BTC,2018-08-22T22:59:59.993Z,6355.881809,6470.074511,6882.835906,6250.653823
BTC,2018-08-23T22:59:59.910Z,6503.832362,6360.216985,6559.279489,6347.079538
BTC,2018-08-24T22:59:59.068Z,6675.360683,6525.526663,6711.493665,6456.798837
BTC,2018-08-25T22:59:59.952Z,6725.032327,6683.354502,6781.075889,6657.387532
BTC,2018-08-26T22:59:59.890Z,6689.822683,6725.032327,6776.896406,6570.729822
BTC,2018-08-27T23:00:00.943Z,6756.628926,6702.39195,6768.305515,6646.168014
BTC,2018-08-28T22:59:59.652Z,7084.293617,6753.31045,7126.730535,6739.190715
BTC,2018-08-29T22:59:59.240Z,7059.231235,7079.540613,7133.646631,6923.645531
BTC,2018-08-30T23:00:00.137Z,6938.914582,7040.075012,7063.44051,6805.198514
BTC,2018-08-31T22:59:59.865Z,7028.447312,6938.762942,7089.1748,6877.286733
BTC,2018-09-01T22:59:59.404Z,7198.058436,7028.447311,7273.526925,7002.341106
BTC,2018-09-02T22:59:59.965Z,7282.858514,7198.057948,7339.812044,7130.172251
BTC,2018-09-03T22:59:59.783Z,7260.251593,7282.231751,7335.455082,7198.264981
BTC,2018-09-04T22:59:59.331Z,7361.271864,7263.067297,7417.667037,7240.376738
BTC,2018-09-05T22:59:59.788Z,6913.115013,7359.974361,7399.538604,6860.772764
BTC,2018-09-06T23:00:00.373Z,6471.493884,6913.115013,6927.094091,6301.93633
BTC,2018-09-07T22:59:59.654Z,6400.268706,6515.39349,6539.798813,6318.952229
BTC,2018-09-08T22:59:59.875Z,6181.744207,6400.3353,6479.20264,6120.293704
BTC,2018-09-09T22:59:59.484Z,6253.937201,6183.97778,6447.313782,6144.924046
BTC,2018-09-10T23:00:00.701Z,6275.083132,6253.935863,6379.81011,6226.244827
BTC,2018-09-11T23:00:00.185Z,6275.669588,6275.086286,6278.477001,6270.784163
BTC,2018-09-12T23:00:00.368Z,6277.494409,6275.667962,6278.128034,6270.935037
